candidate_id,train_valid_expiries,train_gated_trades,train_gate_rate,train_mean_pnl_per_expiry,train_mean_pnl_per_gated,train_win_rate,train_es95,train_es99,train_worst_pnl,feasible,split,selected_candidate_id
Q21p0_36p0_64p0_79p0,52,36,0.6923076923076923,514.0270072115441,742.4834548611195,0.7222222222222222,10032.105304008817,10489.59307030159,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q21p0_37p0_63p0_79p0,52,35,0.6730769230769231,432.0910456730817,641.9638392857214,0.7142857142857143,10184.33205099023,10664.502272858894,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q21p5_35p0_65p0_78p5,52,35,0.6730769230769231,478.7537199519311,711.2912410714409,0.7428571428571429,10351.7320111456,10893.834056349397,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q22p0_33p0_67p0_78p0,52,36,0.6923076923076923,450.78682692308223,651.1365277777854,0.75,9813.667952999647,10265.002761232136,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q22p0_34p0_66p0_78p0,52,35,0.6730769230769231,404.02662259616005,600.2681250000096,0.7428571428571429,10112.858764743416,10612.576983963132,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q22p0_35p0_65p0_78p0,52,35,0.6730769230769231,369.44035456731376,548.8828125000092,0.7428571428571429,10514.908333771218,11110.385949251737,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q22p0_36p0_64p0_78p0,52,35,0.6730769230769231,335.7925180288523,498.89174107143793,0.7142857142857143,10410.642247084816,10932.537194896913,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q22p0_37p0_63p0_78p0,52,34,0.6538461538461539,262.67867187500525,401.7438511029493,0.6764705882352942,10286.792284154486,10718.106850493565,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_33p0_67p0_82p0,77,45,0.5844155844155844,452.9724715909102,775.0862291666685,0.6666666666666666,9917.14941071973,10488.818909335907,-34299.37718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_34p0_66p0_82p0,77,44,0.5714285714285714,430.12589285714324,752.7203125000007,0.6363636363636364,10299.755689398713,10936.46315310145,-34299.37718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_35p0_65p0_80p0,77,40,0.5194805194805194,384.9800689935072,741.0866328125014,0.65,10696.335255582793,11385.203506058142,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_35p0_65p0_80p5,77,42,0.5454545454545454,375.82986607143,689.0214211309551,0.6428571428571429,10758.185957028516,11473.460676548191,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_35p0_65p0_81p0,77,43,0.5584415584415584,412.80329139610456,739.2058938953501,0.6046511627906976,10702.809057284985,11417.177240290004,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_35p0_65p0_81p5,77,43,0.5584415584415584,445.2384537337669,797.2874636627919,0.5813953488372093,10621.014821229872,11308.00411076653,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_35p0_65p0_82p0,77,43,0.5584415584415584,500.5403368506501,896.316417151164,0.6046511627906976,10628.997356904985,11319.143696761668,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_36p0_64p0_82p0,77,44,0.5714285714285714,348.8026988636371,610.4047230113647,0.5909090909090909,10564.023285760595,11171.054860021564,-33610.31468750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p0_37p0_63p0_82p0,77,43,0.5584415584415584,338.9521956168844,606.9609084302349,0.5581395348837209,10522.571935399912,11055.412223208907,-33610.31468750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p5_35p0_65p0_80p0,77,39,0.5064935064935064,425.52797483766375,840.1449759615413,0.6923076923076923,10419.433372643722,11040.082291603381,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p5_35p0_65p0_80p5,77,41,0.5324675324675324,432.4331290584436,812.1305106707356,0.6585365853658537,10545.759115047844,11204.708858519587,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p5_35p0_65p0_81p0,77,41,0.5324675324675324,336.1982913961062,631.3967911585406,0.6097560975609756,10481.82583710137,11124.703465684117,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p5_35p0_65p0_81p5,77,41,0.5324675324675324,368.63345373376825,692.3116082317114,0.5853658536585366,10396.04163831186,11010.2048176473,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q18p5_35p0_65p0_82p0,77,41,0.5324675324675324,423.9353368506514,796.1712423780529,0.6097560975609756,10404.413565971125,11021.887798081227,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_33p0_67p0_81p0,77,40,0.5194805194805194,324.73272727272945,625.110500000004,0.75,9773.723337882922,10225.196664240264,-39326.85218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_34p0_66p0_81p0,77,40,0.5194805194805194,269.3129991883132,518.4275234375026,0.675,9946.378111095784,10408.702594397517,-39326.85218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_35p0_65p0_80p0,77,36,0.4675324675324675,469.13378246753325,1003.4250347222242,0.7777777777777778,10348.759858646117,10879.3410305437,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q19p0_35p0_65p0_80p5,77,38,0.4935064935064935,476.0389366883132,964.6052138157927,0.7368421052631579,10488.77834460833,11065.424498061693,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_35p0_65p0_81p0,77,38,0.4935064935064935,379.80409902597575,769.6030427631609,0.6578947368421053,10451.807198860004,11011.401323959552,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_35p0_65p0_81p5,77,38,0.4935064935064935,412.239261363638,835.3269243421081,0.631578947368421,10359.250563323954,10887.86330897246,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_35p0_65p0_82p0,77,40,0.5194805194805194,477.9554667207813,920.0642734375039,0.65,10253.56190931673,10807.040878384003,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_36p0_64p0_81p0,77,40,0.5194805194805194,284.63601866883255,547.9243359375025,0.65,10408.68911484547,10961.683103546322,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p0_37p0_63p0_81p0,77,40,0.5194805194805194,310.5572849025988,597.8227734375025,0.625,10615.70113542783,11194.294420287008,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p5_35p0_65p0_80p0,77,36,0.4675324675324675,559.3031980519498,1196.2873958333373,0.8055555555555556,10207.60182458343,10675.817510355299,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q19p5_35p0_65p0_80p5,77,38,0.4935064935064935,566.2083522727297,1147.3169243421103,0.7631578947368421,10355.049680759468,10872.612742093734,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q19p5_35p0_65p0_81p0,77,38,0.4935064935064935,469.973514610392,952.3147532894786,0.6842105263157895,10401.707836037836,10939.895904964505,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q19p5_35p0_65p0_81p5,77,38,0.4935064935064935,502.4086769480543,1018.0386348684258,0.6578947368421053,10309.151200501788,10816.357889977415,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
