candidate_id,family,label,target_q20,target_q35,target_q65,target_q80,valid_expiries,gated_trades,gate_rate,mean_net_pnl_per_valid_expiry,mean_net_pnl_per_gated_trade,median_net_pnl_per_gated_trade,win_rate,mean_es95_inr_proxy,mean_es99_inr_proxy,mean_shock9p3_gross_loss_inr,p05_realized_net_pnl_inr,p01_realized_net_pnl_inr,common_gated_n,common_gate_mean_delta_pnl_inr,common_gate_mean_delta_es99_inr,session_ev_retention,gated_ev_retention,win_delta_pp,es99_reduction_pct,shock_reduction_pct
Q20p0_34p0_66p0_80p0,COMBINED_SYMMETRIC|INNER_SYMMETRIC,inner_shift_+1.0pp,0.2,0.34,0.66,0.8,98,56,0.5714285714285714,901.7808022959241,1578.116404017867,2172.9124999999995,0.75,12042.091857122998,12576.76836876701,111407.01188839282,-20708.386953124937,-35537.76327812508,53,210.58935731132112,109.06295506627617,0.9791337870994091,0.9266801913619404,-2.358490566037741,0.8787868759874362,-0.04057578120435501
Q19p0_35p0_65p0_81p5,OUTER_ASYMMETRIC,put_1.0pp_call_1.5pp,0.19,0.35,0.65,0.815,98,55,0.5612244897959183,811.4320682398015,1445.82441250001,2140.1,0.6727272727272727,12071.662497817446,12579.762800300636,112243.82294545449,-21310.05806874993,-35577.83730875008,53,-322.13966981132205,-104.85561033523061,0.8810351162131121,0.8489974756235443,-10.085763293310468,0.8551868797462059,-0.7920101707416416
Q18p5_35p0_65p0_81p5,OUTER_ASYMMETRIC|OUTER_SYMMETRIC,outer_shift_+1.5pp,0.185,0.35,0.65,0.815,98,58,0.5918367346938775,783.5400969387817,1323.9125775862174,1752.6695000000234,0.6379310344827587,12009.983695392888,12587.47378255105,111567.26281465513,-16666.999090624897,-35577.82120437508,53,-311.48652830188803,71.44279499376418,0.8507506264345488,0.777410055190191,-13.565387117761873,0.7944143591250286,-0.18447691149239276
Q20p0_35p0_65p0_81p5,OUTER_ASYMMETRIC,put_0.0pp_call_1.5pp,0.2,0.35,0.65,0.815,98,55,0.5612244897959183,769.6061779336799,1371.2982806818295,2045.0425,0.6727272727272727,12092.138957864581,12591.367039458775,113212.95021818177,-21310.05806874993,-35577.83730875008,53,-399.4781084905661,-92.81347535980187,0.8356214832438018,0.8052352474894815,-10.085763293310468,0.7637304555671354,-1.6622610528497672
Q20p0_33p5_66p5_80p0,INNER_SYMMETRIC,inner_shift_+1.5pp,0.2,0.335,0.665,0.8,98,56,0.5714285714285714,927.250508928577,1622.6883906250098,2430.4124999999995,0.7678571428571429,12060.436656705582,12609.656531027305,111459.33331696424,-20708.386953124937,-35537.76327812508,53,257.6842865566041,143.8127114167774,1.0067882351072264,0.9528531510836248,-0.5727762803234504,0.6195855895301472,-0.08755905228627903
Q20p0_35p5_64p5_80p0,INNER_SYMMETRIC,inner_shift_-0.5pp,0.2,0.355,0.645,0.8,98,54,0.5510204081632653,775.0883271683722,1406.6417789351942,2115.8175,0.7037037037037037,12175.835873552565,12630.247608589723,111867.37031481475,-21200.61510937493,-36042.411454375084,53,-111.5878136792471,-46.79919526198425,0.8415738804648805,0.8259891789747901,-6.988120195667369,0.4573012468697457,-0.45396557834849194
Q19p5_35p0_65p0_81p0,OUTER_ASYMMETRIC,put_0.5pp_call_1.0pp,0.195,0.35,0.65,0.81,98,55,0.5612244897959183,905.5345809949042,1613.4979806818296,2045.0425,0.6909090909090909,12140.718154424383,12645.714838676196,112517.89567272723,-21310.05806874993,-36898.63580375008,53,-148.13879716981134,-36.414815794554364,0.9832095575572718,0.9474564827370073,-8.26758147512865,0.3353994542242833,-1.038120294130973
Q19p5_35p0_65p0_80p0,OUTER_ASYMMETRIC,put_0.5pp_call_0.0pp,0.195,0.35,0.65,0.8,98,53,0.5408163265306123,1048.6466485969447,1939.0070106132187,2944.4787499999816,0.7924528301886793,12175.60482783773,12659.371115856697,110907.46746698108,-20413.786999999928,-37035.930855000086,53,236.02855188679246,-28.90011527922506,1.138597497036637,1.138597497036637,1.8867924528301883,0.2277703144326515,0.4080020120532546
Q20p0_36p5_63p5_80p0,INNER_SYMMETRIC,inner_shift_-1.5pp,0.2,0.365,0.635,0.8,98,55,0.5612244897959183,843.6257602040864,1503.187718181827,2091.535,0.7272727272727273,12179.870318631587,12663.101353275064,110593.98253636359,-21185.993218749933,-35993.442053750085,53,-58.47696462264333,137.65271217462004,0.9159903197985595,0.8826815808967937,-4.631217838765012,0.19837121545048797,0.6895032607279972
Q20p0_35p0_65p0_81p0,OUTER_ASYMMETRIC,put_0.0pp_call_1.0pp,0.2,0.35,0.65,0.81,98,55,0.5612244897959183,777.8864866071492,1386.0522852272843,1750.3375000000003,0.6727272727272727,12173.54421259648,12673.564040672542,112955.73203636358,-21310.05806874993,-36898.63580375008,53,-384.16734905660377,-7.514700515329303,0.844612060520635,0.813898894683521,-10.085763293310468,0.11591169668009327,-1.4312858693822816
